Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MW595923,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC443,29782,complete,India: Anand,Homo sapiens,,"Patel,M., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Pandya,L., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Pethani,J., Shah,A., Shaikh,N.M., Chauhan,B., Mehta,T., Prajapati,B., Joshi,C., Joshi,M.",2020-12-22,2021-02-12,ssRNA(+)
MZ723921,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,AIIMS-Bhopal-Sample10,29800,complete,"India: Asia, Madhya Pradesh",Homo sapiens,,"Singh,J., Malhotra,A.G., Shankar,P., Yadav,A.K., Raghuvanshi,A., Kale,D., Nema,S., Biswas,D., Singh,S.",2021-02-03,2021-08-09,ssRNA(+)
MZ723922,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,AIIMS-Bhopal-Sample29,29823,complete,"India: Asia, Madhya Pradesh",Homo sapiens,,"Singh,J., Malhotra,A.G., Shankar,P., Yadav,A.K., Raghuvanshi,A., Kale,D., Nema,S., Biswas,D., Singh,S.",2021-03-08,2021-08-09,ssRNA(+)
MT676366,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC237b,29800,complete,India: Bardoli,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-06-29,ssRNA(+)
MT676388,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC237a,29800,complete,India: Bardoli,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-06-29,ssRNA(+)
MT560689,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC143,29800,complete,India: Bayad,Homo sapiens,,"Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Chaudhari,A., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Mishra,U., Joshi,C., Joshi,M.",2020-05-05,2020-06-04,ssRNA(+)
MT664774,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.210,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC215,29799,complete,India: Bharuch,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Ansari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-06-25,ssRNA(+)
MT666042,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.145,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC221,29800,complete,India: Bhuj,Homo sapiens,,"Assudani,H., Babhoria,B., Pandya,L., Bagatharia,S., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Rajpara,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-06-25,ssRNA(+)
MT800924,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC283,29800,complete,India: Botad,Homo sapiens,,"Desai,K., Malek,S., Patel,S., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-28,2020-07-27,ssRNA(+)
MT509496,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC96,29800,complete,India: Botad,Homo sapiens,,"Patel,Z., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Desai,K., Malek,S., Patel,S., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Ansari,A., Joshi,C., Joshi,M.",2020-05-09,2020-05-23,ssRNA(+)
MT800282,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC314,29800,complete,India: Chorasi,Homo sapiens,,"Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-17,2020-07-27,ssRNA(+)
MT772215,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC264a,29800,complete,India: Choryasi,Homo sapiens,,"Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-13,2020-07-17,ssRNA(+)
MT772237,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC264b,29800,complete,India: Choryasi,Homo sapiens,,"Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-13,2020-07-17,ssRNA(+)
MT772271,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,A,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC273a,29800,complete,India: Choryasi,Homo sapiens,,"Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-13,2020-07-17,ssRNA(+)
MT772293,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,A,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC273b,29800,complete,India: Choryasi,Homo sapiens,,"Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-13,2020-07-17,ssRNA(+)
MT758701,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC269,29800,complete,India: Choryasi,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-13,2020-07-15,ssRNA(+)
MT676367,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC238b,29800,complete,India: Choryasi,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-06-29,ssRNA(+)
MT676369,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC238a,29800,complete,India: Choryasi,Homo sapiens,,"Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Chauhan,N., Mullan,S., Gamit,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-06-29,ssRNA(+)
MT740619,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC250a,29800,complete,India: Chuda,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dhruv,G., Trivedi,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-07-10,ssRNA(+)
MT740684,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC250b,29800,complete,India: Chuda,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dhruv,G., Trivedi,A., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-12,2020-07-10,ssRNA(+)
MT951392,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-368a,29800,complete,India: Dahegam,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT951393,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-368b,29800,complete,India: Dahegam,Homo sapiens,,"Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT481901,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC87,29800,complete,India: Dahegam,Homo sapiens,,"Pandya,M., Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Ansari,A., Joshi,C., Joshi,M.",2020-04-28,2020-05-20,ssRNA(+)
MT481902,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC88a,29800,complete,India: Dahegam,Homo sapiens,,"Kanani,A., Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Nathani,N., Joshi,C., Joshi,M.",2020-05-03,2020-05-20,ssRNA(+)
MT481903,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC88b,29800,complete,India: Dahegam,Homo sapiens,,"Verma,A., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Kinariwala,D., Patel,D., Aring,B., Khandelwal,N., Vaghela,G., Barve,S., Modi,B., Joshi,K., Shrimali,G., Sood,N., Shah,P., Dixit,R.D., Bagatharia,S., Upadhyay,K.J., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Chaudhari,A., Joshi,C., Joshi,M.",2020-05-03,2020-05-20,ssRNA(+)
MT509657,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC114,29800,complete,India: Dahod,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Pattani,M., Javadekar,T., Kanani,A., Patel,N., Savaliya,N., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Majumdar,S., Joshi,C., Joshi,M.",2020-05-03,2020-05-24,ssRNA(+)
MT509658,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC116,29800,complete,India: Dahod,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Pattani,M., Javadekar,T., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Verma,A., Joshi,C., Joshi,M.",2020-05-03,2020-05-24,ssRNA(+)
MT509500,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC109,29800,complete,India: Dahod,Homo sapiens,,"Pattani,M., Javadekar,T., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Nathani,N., Joshi,C., Joshi,M.",2020-05-03,2020-05-23,ssRNA(+)
MT509512,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC111,29800,complete,India: Dahod,Homo sapiens,,"Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Pattani,M., Javadekar,T., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Jindal,B., Joshi,C., Joshi,M.",2020-05-01,2020-05-23,ssRNA(+)
MT950761,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-364a,29800,complete,India: Daskroi,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT951157,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-365,29800,complete,India: Daskroi,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT951208,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-369,29796,complete,India: Daskroi,Homo sapiens,,"Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT941059,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC346,29762,complete,India: Daskroi,Homo sapiens,,"Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-08-31,ssRNA(+)
MT941060,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC347a,29762,complete,India: Daskroi,Homo sapiens,,"Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-08-31,ssRNA(+)
MT941061,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC347b,29762,complete,India: Daskroi,Homo sapiens,,"Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-08-31,ssRNA(+)
MT800923,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC278b,29785,complete,India: Daskroi,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-07-27,ssRNA(+)
MT800925,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC278a,29785,complete,India: Daskroi,Homo sapiens,,"Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-07-27,ssRNA(+)
ON060017,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,LNHD143,29877,complete,India: Delhi,Homo sapiens,,"Kumar,S., Lomash,A., Mohammed,F., Kapoor,S., Garg,S., Saxena,S., Manchanda,V., Siddiqui,O., Bothra,M., Varughese,B., Jindal,A., Dhakad,M.S., Sharma,A., Aasif,M.K., Suravajhala,P.N., Polipalli,S.K.",2022-01-18,2022-03-24,ssRNA(+)
ON060018,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,LNHD144,29839,complete,India: Delhi,Homo sapiens,,"Kumar,S., Lomash,A., Mohammed,F., Kapoor,S., Garg,S., Saxena,S., Manchanda,V., Siddiqui,O., Bothra,M., Varughese,B., Jindal,A., Dhakad,M.S., Sharma,A., Aasif,M.K., Suravajhala,P.N., Polipalli,S.K.",2022-01-18,2022-03-24,ssRNA(+)
ON060055,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,LNHD181,29879,complete,India: Delhi,Homo sapiens,,"Kumar,S., Lomash,A., Mohammed,F., Kapoor,S., Garg,S., Saxena,S., Manchanda,V., Siddiqui,O., Bothra,M., Varughese,B., Jindal,A., Dhakad,M.S., Sharma,A., Aasif,M.K., Suravajhala,P.N., Polipalli,S.K.",2022-01-18,2022-03-24,ssRNA(+)
MT577009,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,763,29903,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT577010,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,770,29902,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT577011,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,772,29876,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT577012,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,773,29886,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT577013,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,777,29892,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT577014,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,781,29882,complete,India: Delhi,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
MT951170,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-366a,29800,complete,India: Dhandhuka,Homo sapiens,,"Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
MT951177,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-366b,29800,complete,India: Dhandhuka,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,P., Upadhyay,K.J., Kapadia,S., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-18,2020-09-02,ssRNA(+)
